pipeline,metric,judge_a,judge_b,n_common_items,spearman_r,p_value
rag_classic:anthropic:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.6637588001161137,2.008453314796265e-07
rag_classic:anthropic:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.7778067373578414,4.8703326131323955e-11
rag_classic:anthropic:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.38845799238923884,0.005811234549646313
rag_classic:anthropic:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.751545272855673,4.894961882952604e-10
rag_classic:anthropic:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.4558590139338511,0.000995941244954114
rag_classic:anthropic:k=1,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.47652446669670817,0.0005375599420498232
rag_classic:anthropic:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.9210741526974321,7.00899290202077e-21
rag_classic:anthropic:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.8875455425740657,1.9704913397026026e-17
rag_classic:anthropic:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.7869911777640833,2.016222300721416e-11
rag_classic:anthropic:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.854681300051308,5.590457399992698e-15
rag_classic:anthropic:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7745568838894848,6.58840994564851e-11
rag_classic:anthropic:k=1,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.7951046317225187,8.917719144128027e-12
rag_classic:anthropic:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.9210741526974321,7.00899290202077e-21
rag_classic:anthropic:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.8875455425740657,1.9704913397026026e-17
rag_classic:anthropic:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.7869911777640833,2.016222300721416e-11
rag_classic:anthropic:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.854681300051308,5.590457399992698e-15
rag_classic:anthropic:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7745568838894848,6.58840994564851e-11
rag_classic:anthropic:k=1,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.7951046317225187,8.917719144128027e-12
rag_classic:anthropic:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.681393393371858,7.082621125258722e-08
rag_classic:anthropic:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.7264772406365013,3.4464725571004526e-09
rag_classic:anthropic:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.47199503392060005,0.0006174031661020004
rag_classic:anthropic:k=3,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.844225226388837,2.534710714513069e-14
rag_classic:anthropic:k=3,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.5406839519303768,6.055696143574267e-05
rag_classic:anthropic:k=3,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.5249784545912578,0.00010765476836700798
rag_classic:anthropic:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.782985136639811,2.977627870834943e-11
rag_classic:anthropic:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.8562816224833427,4.390004596978587e-15
rag_classic:anthropic:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6538333974529379,3.5050429270048553e-07
rag_classic:anthropic:k=3,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.8370542731229502,6.71418625436685e-14
rag_classic:anthropic:k=3,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.6119300279923312,2.9863695235337197e-06
rag_classic:anthropic:k=3,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.6913406770956089,3.809547117420017e-08
rag_classic:anthropic:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.782985136639811,2.977627870834943e-11
rag_classic:anthropic:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.8562816224833427,4.390004596978587e-15
rag_classic:anthropic:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6538333974529379,3.5050429270048553e-07
rag_classic:anthropic:k=3,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.8370542731229502,6.71418625436685e-14
rag_classic:anthropic:k=3,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.6119300279923312,2.9863695235337197e-06
rag_classic:anthropic:k=3,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.6913406770956089,3.809547117420017e-08
rag_classic:anthropic:k=5,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.7179187253751523,6.395588853007607e-09
rag_classic:anthropic:k=5,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.7432406346031334,9.578542739052441e-10
rag_classic:anthropic:k=5,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.38030789149058397,0.007027438642870727
rag_classic:anthropic:k=5,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.8170477495346948,8.073626370427699e-13
rag_classic:anthropic:k=5,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.4713885067895222,0.00062886829688822
rag_classic:anthropic:k=5,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.4848648727691908,0.00041446775443463945
rag_classic:anthropic:k=5,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.6550854622951136,3.270961541609807e-07
rag_classic:anthropic:k=5,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.780042458362659,3.9446186383243226e-11
rag_classic:anthropic:k=5,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6007251981596047,5.031674419684693e-06
rag_classic:anthropic:k=5,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.6376415001714391,8.332559472436201e-07
rag_classic:anthropic:k=5,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.3950279001771572,0.004968754681917634
rag_classic:anthropic:k=5,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.4958219285675785,0.0002915303337352477
rag_classic:anthropic:k=5,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.6550854622951136,3.270961541609807e-07
rag_classic:anthropic:k=5,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.780042458362659,3.9446186383243226e-11
rag_classic:anthropic:k=5,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6007251981596047,5.031674419684693e-06
rag_classic:anthropic:k=5,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.6376415001714391,8.332559472436201e-07
rag_classic:anthropic:k=5,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.3950279001771572,0.004968754681917634
rag_classic:anthropic:k=5,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.4958219285675785,0.0002915303337352477
rag_classic:deepseek:k=1,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,5,0.9746794344808964,0.004818230468198537
rag_classic:deepseek:k=1,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,5,0.7999999999999999,0.10408803866182788
rag_classic:deepseek:k=1,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,5,0.7999999999999999,0.10408803866182788
rag_classic:openai:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,48,0.6724127282560769,1.658122286409803e-07
rag_classic:openai:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,48,0.6655203317876244,2.457249827677116e-07
rag_classic:openai:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,48,0.4272569195999577,0.002455589862759272
rag_classic:openai:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.7584085000550173,2.7547729923102895e-10
rag_classic:openai:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.5673885174859797,2.1262016001686935e-05
rag_classic:openai:k=1,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.5809474257450538,1.2059632761280968e-05
rag_classic:openai:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,48,0.9420241262829265,1.8947086490195032e-23
rag_classic:openai:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,48,0.8228434652490113,7.213016331399272e-13
rag_classic:openai:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,48,0.7159582486113658,1.0629874631955585e-08
rag_classic:openai:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.8950642970197279,4.220974638210577e-18
rag_classic:openai:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.756407744261997,3.263702602217225e-10
rag_classic:openai:k=1,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.8069928773162088,2.5207664084027474e-12
rag_classic:openai:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,48,0.9420241262829265,1.8947086490195032e-23
rag_classic:openai:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,48,0.8228434652490113,7.213016331399272e-13
rag_classic:openai:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,48,0.7159582486113658,1.0629874631955585e-08
rag_classic:openai:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.8950642970197279,4.220974638210577e-18
rag_classic:openai:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.756407744261997,3.263702602217225e-10
rag_classic:openai:k=1,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.8069928773162088,2.5207664084027474e-12
rag_classic:openai:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,47,0.6566701439380639,5.375669348843166e-07
rag_classic:openai:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,47,0.6692138247204777,2.709797293414764e-07
rag_classic:openai:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,47,0.6537858621609024,6.264646927948924e-07
rag_classic:openai:k=3,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.6808442458740442,7.324166602711074e-08
rag_classic:openai:k=3,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.5334502551069773,7.921075519347555e-05
rag_classic:openai:k=3,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.6549288656194728,3.299418383761738e-07
rag_classic:openai:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,47,0.9094663374501892,9.140513311334764e-19
rag_classic:openai:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,47,0.8800488561795776,3.733935883882835e-16
rag_classic:openai:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,47,0.733056810179532,4.6543744972202464e-09
rag_classic:openai:k=3,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.7607379919548118,2.256668590203727e-10
rag_classic:openai:k=3,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7282304739626534,3.0278377917580306e-09
rag_classic:openai:k=3,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.7203256235975453,5.387215752599674e-09
rag_classic:openai:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,47,0.9094663374501892,9.140513311334764e-19
rag_classic:openai:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,47,0.8800488561795776,3.733935883882835e-16
rag_classic:openai:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,47,0.733056810179532,4.6543744972202464e-09
rag_classic:openai:k=3,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.7607379919548118,2.256668590203727e-10
rag_classic:openai:k=3,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7282304739626534,3.0278377917580306e-09
rag_classic:openai:k=3,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.7203256235975453,5.387215752599674e-09
rag_classic:openai:k=5,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,48,0.7062742116101752,2.0433509053975638e-08
rag_classic:openai:k=5,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,48,0.656229187158318,4.1099895375199154e-07
rag_classic:openai:k=5,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,48,0.49455443774152213,0.0003529401897548054
rag_classic:openai:k=5,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.7798941160463133,4.000483907943859e-11
rag_classic:openai:k=5,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.632106666059329,1.1076098521540708e-06
rag_classic:openai:k=5,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.6839988479311557,6.034853564905763e-08
rag_classic:openai:k=5,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,48,0.945043713161691,5.720681880162087e-24
rag_classic:openai:k=5,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,48,0.828505253637468,3.6462296908918435e-13
rag_classic:openai:k=5,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,48,0.7777177143640785,7.89413653206423e-11
rag_classic:openai:k=5,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.7462565840572762,7.52856706267996e-10
rag_classic:openai:k=5,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7183057726049417,6.2222769250095444e-09
rag_classic:openai:k=5,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.7534808781824645,4.170212263236845e-10
rag_classic:openai:k=5,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,48,0.945043713161691,5.720681880162087e-24
rag_classic:openai:k=5,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,48,0.828505253637468,3.6462296908918435e-13
rag_classic:openai:k=5,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,48,0.7777177143640785,7.89413653206423e-11
rag_classic:openai:k=5,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.7462565840572762,7.52856706267996e-10
rag_classic:openai:k=5,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7183057726049417,6.2222769250095444e-09
rag_classic:openai:k=5,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.7534808781824645,4.170212263236845e-10
rag_dspy:openai:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.8034717993176396,3.697623774472572e-12
rag_dspy:openai:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.668540980926224,1.524397918350019e-07
rag_dspy:openai:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.44367612042485555,0.0014074991472201417
rag_dspy:openai:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.7650984796563247,1.5441033289494113e-10
rag_dspy:openai:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.5386333563724142,6.538743053508049e-05
rag_dspy:openai:k=1,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.5788667240544134,1.317773063544832e-05
rag_dspy:openai:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.9678660153941964,7.938384941180527e-30
rag_dspy:openai:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.906344222365826,3.312647536350093e-19
rag_dspy:openai:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6613960660849804,2.2974338496862176e-07
rag_dspy:openai:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.9075104298630741,2.500361958748682e-19
rag_dspy:openai:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.6516511350021063,3.9507800772745396e-07
rag_dspy:openai:k=1,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.7096946407476376,1.1345924138731334e-08
rag_dspy:openai:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.9678660153941964,7.938384941180527e-30
rag_dspy:openai:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.906344222365826,3.312647536350093e-19
rag_dspy:openai:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6613960660849804,2.2974338496862176e-07
rag_dspy:openai:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.9075104298630741,2.500361958748682e-19
rag_dspy:openai:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.6516511350021063,3.9507800772745396e-07
rag_dspy:openai:k=1,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.7096946407476376,1.1345924138731334e-08
rag_dspy:openai:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.8367647142526862,6.976643482523502e-14
rag_dspy:openai:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.7547657164202599,3.7463792250051116e-10
rag_dspy:openai:k=3,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.6236902308768717,1.689539434241786e-06
rag_dspy:openai:k=3,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.8290502616370091,1.886969568035558e-13
rag_dspy:openai:k=3,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7446279574504843,8.577679726532041e-10
rag_dspy:openai:k=3,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.7338264384791048,1.989269459201761e-09
rag_dspy:openai:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.7549863724213333,3.6778107440345877e-10
rag_dspy:openai:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.5099805754064706,0.0001817432477308794
rag_dspy:openai:k=3,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.45649752739882005,0.0009777042500343077
rag_dspy:openai:k=3,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.5541703621240068,3.609640899358511e-05
rag_dspy:openai:k=3,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.5603050923554794,2.8313988696323805e-05
rag_dspy:openai:k=3,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.5321187599728268,8.31690998302199e-05
rag_dspy:openai:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.7549863724213333,3.6778107440345877e-10
rag_dspy:openai:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.5099805754064706,0.0001817432477308794
rag_dspy:openai:k=3,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.45649752739882005,0.0009777042500343077
rag_dspy:openai:k=3,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.5541703621240068,3.609640899358511e-05
